QI	Algo1	Algo2	Preferred
HV	CellDE	MOCell	CellDE
HV	CellDE	NSGA-II	CellDE
HV	CellDE	SMPSO	CellDE
HV	CellDE	SPEA2	CellDE
HV	MOCell	CellDE	MOCell
HV	MOCell	NSGA-II	MOCell
HV	MOCell	SMPSO	MOCell
HV	NSGA-II	CellDE	NSGA-II
HV	NSGA-II	MOCell	NSGA-II
HV	NSGA-II	SMPSO	NSGA-II
HV	NSGA-II	SPEA2	NSGA-II
HV	SMPSO	CellDE	SMPSO
HV	SMPSO	MOCell	SMPSO
HV	SMPSO	NSGA-II	SMPSO
HV	SMPSO	SPEA2	SMPSO
HV	SPEA2	CellDE	SPEA2
HV	SPEA2	NSGA-II	SPEA2
HV	SPEA2	SMPSO	SPEA2
IGD	CellDE	MOCell	CellDE
IGD	CellDE	PAES	CellDE
IGD	CellDE	SMPSO	CellDE
IGD	MOCell	CellDE	MOCell
IGD	MOCell	SMPSO	MOCell
IGD	NSGA-II	SPEA2	NSGA-II
IGD	PAES	CellDE	PAES
IGD	SMPSO	CellDE	SMPSO
IGD	SMPSO	MOCell	SMPSO
IGD	SPEA2	NSGA-II	SPEA2
EP	CellDE	MOCell	CellDE
EP	CellDE	NSGA-II	CellDE
EP	CellDE	SMPSO	CellDE
EP	CellDE	SPEA2	CellDE
EP	MOCell	CellDE	MOCell
EP	MOCell	SMPSO	MOCell
EP	NSGA-II	CellDE	NSGA-II
EP	NSGA-II	SMPSO	NSGA-II
EP	NSGA-II	SPEA2	NSGA-II
EP	SMPSO	CellDE	SMPSO
EP	SMPSO	MOCell	SMPSO
EP	SMPSO	NSGA-II	SMPSO
EP	SMPSO	SPEA2	SMPSO
EP	SPEA2	CellDE	SPEA2
EP	SPEA2	NSGA-II	SPEA2
EP	SPEA2	SMPSO	SPEA2
GD	CellDE	MOCell	CellDE
GD	CellDE	PAES	CellDE
GD	CellDE	SMPSO	CellDE
GD	MOCell	CellDE	MOCell
GD	MOCell	PAES	MOCell
GD	MOCell	SMPSO	MOCell
GD	NSGA-II	PAES	NSGA-II
GD	NSGA-II	SPEA2	NSGA-II
GD	PAES	CellDE	PAES
GD	PAES	MOCell	PAES
GD	PAES	NSGA-II	PAES
GD	PAES	SMPSO	PAES
GD	SMPSO	CellDE	SMPSO
GD	SMPSO	MOCell	SMPSO
GD	SMPSO	PAES	SMPSO
GD	SPEA2	NSGA-II	SPEA2
GS	CellDE	MOCell	CellDE
GS	CellDE	NSGA-II	CellDE
GS	CellDE	SMPSO	CellDE
GS	CellDE	SPEA2	CellDE
GS	MOCell	CellDE	MOCell
GS	NSGA-II	CellDE	NSGA-II
GS	NSGA-II	SMPSO	NSGA-II
GS	NSGA-II	SPEA2	NSGA-II
GS	SMPSO	CellDE	SMPSO
GS	SMPSO	NSGA-II	SMPSO
GS	SMPSO	SPEA2	SMPSO
GS	SPEA2	CellDE	SPEA2
GS	SPEA2	NSGA-II	SPEA2
GS	SPEA2	SMPSO	SPEA2
ED	CellDE	MOCell	CellDE
ED	CellDE	NSGA-II	CellDE
ED	CellDE	PAES	CellDE
ED	CellDE	SMPSO	CellDE
ED	CellDE	SPEA2	CellDE
ED	MOCell	CellDE	MOCell
ED	MOCell	NSGA-II	MOCell
ED	MOCell	PAES	MOCell
ED	MOCell	SMPSO	MOCell
ED	MOCell	SPEA2	MOCell
ED	NSGA-II	CellDE	NSGA-II
ED	NSGA-II	MOCell	NSGA-II
ED	NSGA-II	PAES	NSGA-II
ED	NSGA-II	SMPSO	NSGA-II
ED	NSGA-II	SPEA2	NSGA-II
ED	PAES	CellDE	PAES
ED	PAES	MOCell	PAES
ED	PAES	NSGA-II	PAES
ED	PAES	SMPSO	PAES
ED	SMPSO	CellDE	SMPSO
ED	SMPSO	MOCell	SMPSO
ED	SMPSO	NSGA-II	SMPSO
ED	SMPSO	PAES	SMPSO
ED	SMPSO	SPEA2	SMPSO
ED	SPEA2	CellDE	SPEA2
ED	SPEA2	MOCell	SPEA2
ED	SPEA2	NSGA-II	SPEA2
ED	SPEA2	SMPSO	SPEA2
PFS	CellDE	MOCell	CellDE
PFS	CellDE	PAES	CellDE
PFS	CellDE	SMPSO	CellDE
PFS	MOCell	CellDE	MOCell
PFS	MOCell	SMPSO	MOCell
PFS	NSGA-II	SPEA2	NSGA-II
PFS	PAES	CellDE	PAES
PFS	PAES	SMPSO	PAES
PFS	SMPSO	CellDE	SMPSO
PFS	SMPSO	MOCell	SMPSO
PFS	SMPSO	PAES	SMPSO
PFS	SPEA2	NSGA-II	SPEA2
C	CellDE	MOCell	CellDE
C	CellDE	NSGA-II	CellDE
C	CellDE	PAES	CellDE
C	CellDE	SMPSO	CellDE
C	CellDE	SPEA2	CellDE
C	MOCell	CellDE	MOCell
C	MOCell	NSGA-II	MOCell
C	MOCell	PAES	MOCell
C	MOCell	SMPSO	MOCell
C	MOCell	SPEA2	MOCell
C	NSGA-II	CellDE	NSGA-II
C	NSGA-II	MOCell	NSGA-II
C	NSGA-II	SMPSO	NSGA-II
C	NSGA-II	SPEA2	NSGA-II
C	PAES	CellDE	PAES
C	PAES	MOCell	PAES
C	PAES	SMPSO	PAES
C	SMPSO	CellDE	SMPSO
C	SMPSO	MOCell	SMPSO
C	SMPSO	NSGA-II	SMPSO
C	SMPSO	PAES	SMPSO
C	SMPSO	SPEA2	SMPSO
C	SPEA2	CellDE	SPEA2
C	SPEA2	MOCell	SPEA2
C	SPEA2	NSGA-II	SPEA2
C	SPEA2	SMPSO	SPEA2
