NameOfProblem	Algo	QI	Counter	Percentage	PercentageII
RA	SMPSO	HV	1	0.142857142857143	14.2857142857143
RA	SMPSO	IGD	1	0.142857142857143	14.2857142857143
RA	SMPSO	EP	1	0.142857142857143	14.2857142857143
RA	SMPSO	GD	1	0.142857142857143	14.2857142857143
RA	SMPSO	GS	1	0.142857142857143	14.2857142857143
RA	SMPSO	ED	7	1	100
RA	SMPSO	PFS	1	0.142857142857143	14.2857142857143
RA	SMPSO	C	0	0	0
TS	SMPSO	HV	2	0.285714285714286	28.5714285714286
TS	SMPSO	IGD	2	0.285714285714286	28.5714285714286
TS	SMPSO	EP	7	1	100
TS	SMPSO	GD	2	0.285714285714286	28.5714285714286
TS	SMPSO	GS	6	0.857142857142857	85.7142857142857
TS	SMPSO	ED	2	0.285714285714286	28.5714285714286
TS	SMPSO	PFS	0	0	0
TS	SMPSO	C	0	0	0
TRA	SMPSO	HV	4	0.571428571428571	57.1428571428571
TRA	SMPSO	IGD	4	0.571428571428571	57.1428571428571
TRA	SMPSO	EP	4	0.571428571428571	57.1428571428571
TRA	SMPSO	GD	1	0.142857142857143	14.2857142857143
TRA	SMPSO	GS	1	0.142857142857143	14.2857142857143
TRA	SMPSO	ED	1	0.142857142857143	14.2857142857143
TRA	SMPSO	PFS	0	0	0
TRA	SMPSO	C	4	0.571428571428571	57.1428571428571
RP	SMPSO	HV	2	0.285714285714286	28.5714285714286
RP	SMPSO	IGD	2	0.285714285714286	28.5714285714286
RP	SMPSO	EP	6	0.857142857142857	85.7142857142857
RP	SMPSO	GD	1	0.142857142857143	14.2857142857143
RP	SMPSO	GS	7	1	100
RP	SMPSO	ED	2	0.285714285714286	28.5714285714286
RP	SMPSO	PFS	0	0	0
RP	SMPSO	C	2	0.285714285714286	28.5714285714286
TM	SMPSO	HV	2	0.285714285714286	28.5714285714286
TM	SMPSO	IGD	2	0.285714285714286	28.5714285714286
TM	SMPSO	EP	2	0.285714285714286	28.5714285714286
TM	SMPSO	GD	2	0.285714285714286	28.5714285714286
TM	SMPSO	GS	7	1	100
TM	SMPSO	ED	6	0.857142857142857	85.7142857142857
TM	SMPSO	PFS	0	0	0
TM	SMPSO	C	0	0	0
TP1	SMPSO	HV	5	0.714285714285714	71.4285714285714
TP1	SMPSO	IGD	4	0.571428571428571	57.1428571428571
TP1	SMPSO	EP	5	0.714285714285714	71.4285714285714
TP1	SMPSO	GD	1	0.142857142857143	14.2857142857143
TP1	SMPSO	GS	5	0.714285714285714	71.4285714285714
TP1	SMPSO	ED	1	0.142857142857143	14.2857142857143
TP1	SMPSO	PFS	3	0.428571428571429	42.8571428571429
TP1	SMPSO	C	0	0	0
TP2_1	SMPSO	HV	5	0.714285714285714	71.4285714285714
TP2_1	SMPSO	IGD	1	0.142857142857143	14.2857142857143
TP2_1	SMPSO	EP	4	0.571428571428571	57.1428571428571
TP2_1	SMPSO	GD	1	0.142857142857143	14.2857142857143
TP2_1	SMPSO	GS	6	0.857142857142857	85.7142857142857
TP2_1	SMPSO	ED	1	0.142857142857143	14.2857142857143
TP2_1	SMPSO	PFS	6	0.857142857142857	85.7142857142857
TP2_1	SMPSO	C	0	0	0
TP2_2	SMPSO	HV	5	0.714285714285714	71.4285714285714
TP2_2	SMPSO	IGD	3	0.428571428571429	42.8571428571429
TP2_2	SMPSO	EP	5	0.714285714285714	71.4285714285714
TP2_2	SMPSO	GD	0	0	0
TP2_2	SMPSO	GS	5	0.714285714285714	71.4285714285714
TP2_2	SMPSO	ED	0	0	0
TP2_2	SMPSO	PFS	3	0.428571428571429	42.8571428571429
TP2_2	SMPSO	C	0	0	0
TP2_3	SMPSO	HV	1	0.142857142857143	14.2857142857143
TP2_3	SMPSO	IGD	1	0.142857142857143	14.2857142857143
TP2_3	SMPSO	EP	1	0.142857142857143	14.2857142857143
TP2_3	SMPSO	GD	1	0.142857142857143	14.2857142857143
TP2_3	SMPSO	GS	6	0.857142857142857	85.7142857142857
TP2_3	SMPSO	ED	1	0.142857142857143	14.2857142857143
TP2_3	SMPSO	PFS	7	1	100
TP2_3	SMPSO	C	0	0	0
RM	SMPSO	HV	0	0	0
RM	SMPSO	IGD	0	0	0
RM	SMPSO	EP	6	0.857142857142857	85.7142857142857
RM	SMPSO	GD	0	0	0
RM	SMPSO	GS	6	0.857142857142857	85.7142857142857
RM	SMPSO	ED	0	0	0
RM	SMPSO	PFS	0	0	0
RM	SMPSO	C	0	0	0
ITO	SMPSO	HV	2	0.285714285714286	28.5714285714286
ITO	SMPSO	IGD	5	0.714285714285714	71.4285714285714
ITO	SMPSO	EP	5	0.714285714285714	71.4285714285714
ITO	SMPSO	GD	2	0.285714285714286	28.5714285714286
ITO	SMPSO	GS	5	0.714285714285714	71.4285714285714
ITO	SMPSO	ED	2	0.285714285714286	28.5714285714286
ITO	SMPSO	PFS	0	0	0
ITO	SMPSO	C	0	0	0
UT1	SMPSO	HV	0	0	0
UT1	SMPSO	IGD	0	0	0
UT1	SMPSO	EP	6	0.857142857142857	85.7142857142857
UT1	SMPSO	GD	0	0	0
UT1	SMPSO	GS	0	0	0
UT1	SMPSO	ED	7	1	100
UT1	SMPSO	PFS	0	0	0
UT1	SMPSO	C	0	0	0
UT2	SMPSO	HV	0	0	0
UT2	SMPSO	IGD	0	0	0
UT2	SMPSO	EP	0	0	0
UT2	SMPSO	GD	0	0	0
UT2	SMPSO	GS	0	0	0
UT2	SMPSO	ED	0	0	0
UT2	SMPSO	PFS	0	0	0
UT2	SMPSO	C	0	0	0
UT3	SMPSO	HV	0	0	0
UT3	SMPSO	IGD	0	0	0
UT3	SMPSO	EP	0	0	0
UT3	SMPSO	GD	0	0	0
UT3	SMPSO	GS	0	0	0
UT3	SMPSO	ED	0	0	0
UT3	SMPSO	PFS	7	1	100
UT3	SMPSO	C	0	0	0
UT4	SMPSO	HV	0	0	0
UT4	SMPSO	IGD	0	0	0
UT4	SMPSO	EP	0	0	0
UT4	SMPSO	GD	0	0	0
UT4	SMPSO	GS	0	0	0
UT4	SMPSO	ED	0	0	0
UT4	SMPSO	PFS	0	0	0
UT4	SMPSO	C	0	0	0
